Category,Name,Status,Link,Notes ( Fill in with your method to solve )
Arrays,Contains Duplicate,,https://leetcode.com/problems/contains-duplicate/,"hashset to get unique values in array, to check for duplicates easily
Arrays,Valid Anagram,,https://leetcode.com/problems/valid-anagram/,
Arrays,Two Sum,,https://leetcode.com/problems/two-sum/,"use hash map to instantly check for difference value, map will add index of last occurrence of a num, don’t use same element twice;
Arrays,Group Anagrams,,https://leetcode.com/problems/group-anagrams/,
Arrays,Top K Frequent Elements,,https://leetcode.com/problems/top-k-frequent-elements/,
Arrays,"Product of Array Except Self",,https://leetcode.com/problems/product-of-array-except-self/,
Arrays,Valid Sudoku,,https://leetcode.com/problems/valid-sudoku/,
Arrays,Encode and Decode Strings,,https://leetcode.com/accounts/login/?next=/problems/encode-and-decode-strings/,
Graph,Longest Consecutive Sequence,,https://leetcode.com/problems/longest-consecutive-sequence/,
Two Pointers,Valid Palindrome,,https://leetcode.com/problems/valid-palindrome/,
Two Pointers,Two Sum II,,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,
Two Pointers,3Sum,,https://leetcode.com/problems/3sum/,
Two Pointers,Container with Most Water,,https://leetcode.com/problems/container-with-most-water/,
Two Pointers,Trapping Rain Water,,https://leetcode.com/problems/trapping-rain-water/,
Sliding Window,Best Time to Buy & Sell Stock,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
Sliding Window,Longest Substring Without Repeating Characters,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,
Sliding Window,Longest Repeating Character Replacement,,https://leetcode.com/problems/longest-repeating-character-replacement/,
Sliding Window,Permutation in String,,https://leetcode.com/problems/permutation-in-string/,
Sliding Window,Minimum Window Substring,,https://leetcode.com/problems/minimum-window-substring/,
Sliding Window,Sliding Window Maximum,,https://leetcode.com/problems/sliding-window-maximum/,
Stack,Valid Parentheses,Completed,https://leetcode.com/problems/valid-parentheses/,"Use a stack to push open parentheses, if close parentheses is encountered then use a dictionary and check if it's a match, check edge cases, and empty queues, valid input and inputs where closing parentheses "
Stack,Min Stack,,https://leetcode.com/problems/min-stack/,
Stack,Evaluate Reverse Polish Notation,,https://leetcode.com/problems/evaluate-reverse-polish-notation/,
Stack,Generate Parentheses,,https://leetcode.com/problems/generate-parentheses/,
Stack,Daily Temperatures,,https://leetcode.com/problems/daily-temperatures/,
Stack,Car Fleet,,https://leetcode.com/problems/car-fleet/,
Stack,Largest Rectangle in Histogram,,https://leetcode.com/problems/largest-rectangle-in-histogram/,
Binary Search,Binary Search,,https://leetcode.com/problems/binary-search/,
Binary Search,Search a 2D Matrix,,https://leetcode.com/problems/search-a-2d-matrix/,
Binary Search,Koko Eating Bananas,,https://leetcode.com/problems/koko-eating-bananas/,
Binary Search,Search Rotated Sorted Array,,https://leetcode.com/problems/search-in-rotated-sorted-array/,
Binary Search,Find Minimum in Rotated Sorted Array,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
Binary Search,Time Based Key-Value Store,,https://leetcode.com/problems/time-based-key-value-store/,
Binary Search,Find Median of Two Sorted Arrays,,https://leetcode.com/problems/median-of-two-sorted-arrays/,
Linked List,Reverse Linked List,,https://leetcode.com/problems/reverse-linked-list/,
Linked List,Merge Two Linked Lists,,https://leetcode.com/problems/merge-two-sorted-lists/,
Linked List,Reorder List,,https://leetcode.com/problems/reorder-list/,
Linked List,Remove Nth Node from End of List,,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
Linked List,Copy List with Random Pointer,,https://leetcode.com/problems/copy-list-with-random-pointer/,
Linked List,Add Two Numbers,,https://leetcode.com/problems/add-two-numbers/,
Linked List,Linked List Cycle,,https://leetcode.com/problems/linked-list-cycle/,
Linked List,Find the Duplicate Number,,https://leetcode.com/problems/find-the-duplicate-number/,
Linked List,LRU Cache,,https://leetcode.com/problems/lru-cache/,
Linked List,Merge K Sorted Lists,,https://leetcode.com/problems/merge-k-sorted-lists/,
Linked List,Reverse Nodes in K-Group,,https://leetcode.com/problems/reverse-nodes-in-k-group/,
Trees,Invert Binary Tree,,https://leetcode.com/problems/invert-binary-tree/,
Trees,Maximum Depth of Binary Tree,,https://leetcode.com/problems/maximum-depth-of-binary-tree/,
Trees,Diameter of a Binary Tree,,https://leetcode.com/problems/diameter-of-binary-tree/,
Trees,Balanced Binary Tree,,https://leetcode.com/problems/balanced-binary-tree/,
Trees,Same Tree,,https://leetcode.com/problems/same-tree/,
Trees,Subtree of Another Tree,,https://leetcode.com/problems/subtree-of-another-tree/,
Trees,Lowest Common Ancestor of a BST,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,
Trees,Binary Tree Level Order Traversal,,https://leetcode.com/problems/binary-tree-level-order-traversal/,
Trees,Binary Tree Right Side View,,https://leetcode.com/problems/binary-tree-right-side-view/,
Trees,Count Good Nodes in a Binary Tree,,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,
Trees,Validate Binary Search Tree,,https://leetcode.com/problems/validate-binary-search-tree/,
Trees,Kth Smallest Element in a BST,,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
Trees,Construct Tree from Preorder and Inorder Traversal,,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,
Trees,Binary Tree Max Path Sum,,https://leetcode.com/problems/binary-tree-maximum-path-sum/,
Trees,Serialize and Deserialize Binary Tree,,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,
Tries,Implement Trie,,https://leetcode.com/problems/implement-trie-prefix-tree/,
Tries,Design Add and Search Word Data Structure,,https://leetcode.com/problems/design-add-and-search-words-data-structure/,
